Code,CodeDescription,chap,HistoricalNotes,Notes,active,CodingPrinciples
,,34.1.3,New code added in June 2024,,True,
0001B,Aminoglycoside induced deafness testing,34.0.0,New code added in July 2018,Blood,True,
0001C,Streptococcus pneumoniae by PCR,34.0.0,New code added in July 2018,,True,
0001F,FIT (Faecal Immunochemistry Test),34.0.0,New code added in July 2018,,True,
0001G,ALK gene rearrangement,34.5.0,,Replaces code ?7004T,True,
0001O,"CASPR-2 Antibodies
",34.0.0,New code added in August 2019,,True,
0001S,Intra-epidermal nerve fibre density (IENFD),34.0.0,New code added in August 2020,,True,
0001T," 
Myriad Prolaris",34.5.0,New code added in July 2018Code inactivated in February 2019,,False,
0002B,Intra-operative PTH profile,34.0.0,New code added in July 2018,,True,
0002C,Neurofilament Light Chain,34.1.0,New code added in May 2021,,True,
0002G,Single Gene Test BRAF V600E,34.1.3,New code added in June 2018,,True,
0002O,Glycine receptor antibodies,34.0.0,New code added in August 2019,,True,
0002T,Halio Dx Immunoscore Colon,34.0.0,New code added in October 2019Narrative change from 'Hailo Dx Immunoscore Colon' to 'Halio Dx Immunoscore Colon' in November 2020,,True,
0003B,Full Cytokine Panel,34.0.0,New code added in July 2018,,True,
0003G,Breast cancer genetics (BRCA),34.1.3,,Replaces code ?8137B,True,
0003O,LGI1 ANTIBODIES,34.0.0,New code added in August 2019,,True,
0004B,B Cell Memory Panel,34.0.0,New code added in July 2018,,True,
0004G,Single Gene Test EGFR (tissue),34.1.3,New code added in June 2018,,True,
0004O,GABA B RECEPTOR ANTIBODIES,34.0.0,New code added in August 2019,,True,
0005B,Lymphocyte Immunophenotyping,34.2.0,New code added in July 2018,,True,
0005G,Single Gene Test EGFR (blood),34.0.0,"New code added in April 2017Narrative change from 'IHS Multi Gene panel (BRAF, EGFR,KRAS and NRAS)' to 'Single Gene Test EGFR (blood)' in June 2018",Replaces code ?4198B,True,
0005O,HMG-CoA Reductase Antibodies,34.0.0,New code added in April 2023,,True,
0006B,Alpha-Melanocyte Stimulating Hormone,34.0.0,New code added in October 2019,,True,
0006G,KRAS mutation analysis,34.1.0,,Replaces code ?7900T,True,
0006O,IgLON5 Antibodies,34.3.0,New code added in April 2023,,True,
0007B,NK Cell Inhibition Panel,34.0.0,New code added in October 2019,,True,
0007G,BCR-ABL gene RNA transcript screen,34.2.0,,Replaces code ?4792B,True,
0007U,Mycotoxin Profile,34.0.0,New code added in August 2019,,True,
0008B,NK Assay Full Panel,34.0.0,New code added in October 2019,,True,
0008G,DNA RET protein gene test,34.4.0,New code added in May 2017,Replaces code ?5007T,True,
0009B,Anti-Sulphatide Antibodies,34.0.0,New code added in April 2020,,True,
0009G,Single Gene Test NRAS,34.1.3,New code added in June 2018,,True,
0010B,Anti Gaba A Antibodies (AGAA),34.0.0,New code added in November 2020,,True,
0010G,Atm gene mutation analysis,34.1.3,,Replaces code ?8134B,True,
0011B,"Diabetes Type 1 (Glutamic acid decarboxylase , IA2 antibodies, Zinc transport 8)",34.0.0,New code added in January 2021,,True,
0011G,Familial adenomotous polyposis (FAP) - APC gene,34.1.3,,Replaces code ?8158B,True,
0012B,EBV VCA IGM,34.0.0,New code added in January 2021,,True,
0012G,FLIP1 - PDGFR Fusion,34.1.3,,Replaces code ?8160M,True,
0013B,Eosin-5-maleimide (EMA),34.0.0,New code added in January 2021,,True,
0013G,JAK2 mutation,34.1.3,,Replaces code ?8169B,True,
0014B,Acromegaly Tolerance Test,34.1.0,New code added in May 2021,,True,
0014G,Multiple endocrine neoplasia type 1 (MEN1),34.1.3,,Replaces code ?8183B,True,
0015B,Anti Hyaluronidase Antibodies (AHYA),34.1.0,New code added in May 2021,,True,
0015G,Multiple endocrine neoplasia type 2 (MEN2),34.1.3,,Replaces code ?8184B,True,
0016B,Cluster of differentiation 25 count,34.3.0,,,True,
0016G,RET proto-oncogene (RET1),34.1.3,,Replaces code ?8196B,True,
0016M,Cluster of differentiation 25 count,34.3.0,,,True,
0017B,Cytoplasmic cluster of differentiation 25 count,34.3.0,,,True,
0017G,T-Cell gene rearrangement,34.1.3,,Replaces code ?8211B,True,
0017M,Cytoplasmic cluster of differentiation 25 count,34.3.0,,,True,
0018B,Alpha Subunits for LH,34.2.0,New code added in September 2019,,True,
0018G,MLP Gene Mutation,34.1.3,New code added in January 2018Narrative change from 'NRAS' to 'MLP Gene Mutation' in June 2018,,True,
0019B,Alpha Subunits for FSH,34.2.0,New code added in September 2019,,True,
0019G,EGFR vIII mutation,34.1.3,New code added in January 2018Code inactivated in June 2018Code inactivated in June 2023Code inactivated in June 2023Code inactivated in June 2023Code inactivated in June 2023Code inactivated in June 2023,,True,
0020B,TH1:TH2 Intracellular Cytokine Ratio with IVIg,34.0.0,New code added in September 2019,,True,
0020G,EGFR amplification test using FISH,34.1.3,New code added in January 2018Code inactivated in June 2018Code inactivated in June 2023,,True,
0021B,BH1 PRE COMPOUNDING TEST,34.0.0,New code added in September 2019,,True,
0021G,"H3F3A mutations
",34.1.3,New code added in January 2018,,True,
0022B,BH2 PRE COMPOUNDING TEST,34.0.0,New code added in September 2019,,True,
0022G,Single Gene C-MYC (myc) gene,34.1.3,New code added in January 2018Narrative change from 'C-MYC Amplification test using FISH' to 'Single Gene C-MYC (myc) gene' in June 2018,,True,
0023B,BH3 PRE COMPOUNDING TEST,34.0.0,New code added in September 2019,,True,
0023G,MLL rearrangements,34.1.3,New code added in January 2018Narrative change from 'BRAF' to 'MLL rearrangements' in June 2018,,True,
0024B,BH4 PRE COMPOUNDING TEST,34.0.0,New code added in September 2019,,True,
0024G,ROS1,34.1.3,New code added in January 2018,,True,
