Code,CodeDescription,chap,HistoricalNotes,Notes,active,CodingPrinciples
,,10.0.0,New code added in October 2023Narrative change from 'Localised patient specific knee resurfacing arthroplasty' to '' in June 2024Code inactivated in June 2024,,FALSE,
,,0.0.0,New code added in June 2024,,TRUE,
,,0.0.0,New code added in June 2024,,TRUE,
,,0.0.0,New code added in June 2024,,TRUE,
,,12.6.0,New code added in December 2024,,TRUE,
,,8.8.0,New code added in December 2024,,TRUE,
17160,"Intensive care - consultant daily care, when no operative anaesthesia performed",1.4.0,,Replaces 20340,TRUE,"17170, 17180, 17190, 20320, 20330"
17170,Professional attendance on (initiation of care of) patient requiring intensive care in an emergency up to 2 hours,1.4.0,Changed from Professional attendance on (initiation of care of) patient requiring intensive care up to 2 hours to Professional attendance on (initiation of care of) patient requiring intensive care in an emergency up to 2 hours August 2012.,,TRUE,17160
17180,Professional attendance on (initiation of care of) patient requiring intensive care in an emergency 2-3 hours,1.4.0,Narrative changed from Professional attendance on (initiation of care of) patient requiring intensive care up to 3 hours to Professional attendance on (initiation of care of) patient requiring intensive care in an emergency up to 3 hours inNarrative change from 'Professional attendance on (initiation of care of) patient requiring intensive care in an emergency up to 3 hours' to 'Professional attendance on (initiation of care of) patient requiring intensive care in an emergency 2-3 hours' in March 2017,,TRUE,17160
17190,Professional attendance on (initiation of care of) patient requiring intensive care in an emergency over 3 hours,1.4.0,Narrative change from Professional attendance on (initiation of care of) patient requiring intensive care over 3 hours to Professional attendance on (initiation of care of) patient requiring intensive care in an emergency over 3 hours in August 2012.,,TRUE,17160
20110,ECG (including reporting),1.1.0,,,TRUE,"20130, 20130, 20132"
20130,Exercise ECG (including base line 12 lead ECG and reporting),1.1.0,,,TRUE,"20110, 20110, 20132"
20132,Exercise or dobutamine stress echocardiography (including ECG and reporting),1.1.0,Changed from Exercise stress echocardiography (including reporting) to Exercise or Dobutamine stress echocardiography (including reporting),,TRUE,"20110, 20130, 64300"
20140,24 hour ECG Holter (including reporting),1.1.0,Description changed from Continuous ECG Holter monitoring Narrative change from 24 hour ECG Holter monitoring (including reporting) to 24 hour ECG Holter (including reporting) in October 2013,,TRUE,"20141, 20144"
20141,Continuous ambulatory ECG for up to 72 hours (including reporting),1.1.0,Narrative change from Long term ambulatory ECG monitoring (event recording) (including reporting) to Continuous ambulatory ECG for up to 72 hours (including reporting) in October 2013,,TRUE,"20140, 20144"
20142,Insertion of implantable ECG loop recorder (including reporting),1.1.0,,,TRUE,
20143,Removal of implantable ECG loop recorder (including reporting),1.1.0,,,TRUE,"K6000, K6010, K6015, K6020, K6030, K6060, K6111, K6120"
20144,Continuous ambulatory ECG for over 72 hours and up to 7 days (including reporting),1.1.0,New code added in June 2016,,TRUE,"20140, 20141"
20150,"Patch testing (inclusive of application, reading and reporting)",1.1.0,,,TRUE,
20160,Phototesting,1.1.0,Narrative change from 'Phototesting (specialist dermatology units only)' to 'Phototesting' in October 2014,,TRUE,
20170,Blind challenge test for food allergy under medical supervision,1.1.0,,,TRUE,
20210,Pure tone audiogram (air conduction) - including masking,1.1.0,Narrative change from Pure tone audiogram (air conduction) to Pure tone audiogram (air conduction) - including masking,,TRUE,"20220, 20220"
20220,Pure tone audiogram (air and bone conduction) - including masking,1.1.0,Narrative change from Pure tone audiogram (air and bone conduction) to Pure tone audiogram (air and bone conduction) - including masking in Dec 13,,TRUE,20210
20230,Impedance audiogram,1.1.0,,,TRUE,20240
20240,Impedance audiogram as part of other procedure,1.1.0,,,TRUE,20230
20300,Initial out-patient consultation - face to face,1.3.0,Narrative change from 'Initial outpatient consultation' to 'Initial out-patient consultation - face to face' in March 2020,,TRUE,"S4910, X0001, X0002, X0003, X0004, X0005"
20310,Follow-up out-patient consultation - face to face,1.3.0,Narrative change from 'Follow-up outpatient consultation' to 'Follow-up out-patient consultation - face to face' in March 2020,,TRUE,"S4910, X0001, X0002, X0003, X0004, X0005"
20320,Inpatient care,1.3.0,,,TRUE,"17160, S4910"
20330,Inpatient consultation by second specialist or for emergency,1.3.0,,,TRUE,"17160, S4910"
20340,"Intensive care - consultant daily care, when no operative anaesthesia performed",1.4.0,Code inactivated in February 2014,Replaced by code 17160,FALSE,
20340,Remote consultation using multimedia communication e.g. Skype,1.3.0,Code inactivated in November 2014,,FALSE,
20350,Remote consultation - up to 15 minutes,1.3.0,"New code added in November 2014Narrative change from 'Telephone consultation up to 15 minutes' to 'Non face to face consultation (e.g. telephone, skype) - up to 15 minutes' in May 2015Narrative change from 'Non face to face consultation (e.g. telephone, skype) - up to 15 minutes' to 'Remote consultation - up to 15 minutes' in November 2018Code inactivated in October 2020",,FALSE,
20355,Initial out-patient consultation - remote,1.3.0,New code added in October 2020,,TRUE,"X0001, X0002, X0003, X0004, X0005"
20360,Remote consultation 16 – 29 minutes,1.3.0,"New code added in November 2014Narrative change from 'Telephone consultation over 15 minutes' to 'Non face to face consultation (e.g. telephone, skype) - 16 to 29 minutes' in May 2015Narrative change from 'Non face to face consultation (e.g. telephone, skype) - 16 to 29 minutes' to 'Remote consultation 16 – 29 minutes' in November 2018Code inactivated in October 2020",,FALSE,
20365,Follow-up out-patient consultation – remote,1.3.0,New code added in October 2020,,TRUE,"X0001, X0002, X0003, X0004, X0005"
20370,Remote consultation 30 minutes or more,1.3.0,"New code added in November 2014Narrative change from 'Video consultation over 15 minutes' to 'Non face to face consultation (e.g. telephone, skype) - 30 minutes and over' in May 2015Narrative change from 'Non face to face consultation (e.g. telephone, skype) - 30 minutes and over' to 'Remote consultation 30 minutes or more' in November 2018Narrative change from 'Non face to face consultation (e.g. telephone, skype) - 30 minutes and over' to 'Remote consultation 30 minutes or more' in November 2018Code inactivated in October 2020",,FALSE,
20380,Video consultation up to 15 minutes,1.3.0,New code added in November 2014Code inactivated in May 2015,,FALSE,
20390,Initial neuropsychological assessment,1.3.0,New code added in November 2021Narrative change from 'Neuropsychological Assessment' to 'Initial neuropsychological assessment' in December 2021,,TRUE,
20395,Follow-up neuropsychological assessment,1.3.0,New code added in December 2021,,TRUE,
